date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,JPM,XOM,UNH,TSLA,SPY,QQQ
2019-01-03,0.004366767983789321,0.010244442209033311,-0.0025000000000000577,-0.047276257396449695,-0.10655176628773988,-0.2171024297977594,-0.1379872729138869,-0.09115368058544981,-0.06463151364764275,-0.12226228030644437,0.0021136781517308023,-0.08002136337152832
2019-01-04,0.0042342960325227885,0.009974270226350335,-0.0024737167594308662,-0.04906712108890543,-0.11800309195134973,-0.27434301797762617,-0.1583349109791048,-0.09920978882968223,-0.06834176275499937,-0.13779842891615757,0.0020812991007894688,-0.08603319562223677
2019-01-07,0.012006438926879026,0.02865125835427551,-0.007113257415081509,-0.15131890470903264,-0.3654971939479864,-0.22950939327546227,-0.4409942281575373,-0.3232247457662768,-0.2152271004783236,-0.3393119793248417,0.006064547869566894,-0.2762078178052555
2019-01-08,0.003747047029162287,0.008971957958982646,-0.0023004370830458365,-0.05807658731208487,0.0,0.0,0.0,-0.15568493186162036,-0.08937764379684754,0.0,0.0019544680167531414,-0.12437412441241891
2019-01-09,0.0036292256498242637,0.008738291079419813,-0.0022398629730886466,-0.06094509579639695,0.0,0.0,0.0,-0.182321509637682,-0.09703706310842408,0.0,0.0019241992638052707,-0.06172668530214631
2019-01-10,0.0035151073253161247,0.008510982915882703,-0.0021788650094087814,-0.06413916485858939,0.0,0.0,0.0,-0.22046118699193085,-0.10623917512125702,0.0,0.0018933101595952628,0.0
2019-01-11,0.003404608371851081,0.008289758721147455,-0.0021505376344085336,-0.06773018326341351,0.0,0.0,0.0,-0.11094107909376139,-0.0553050376051214,0.0,0.0018633767596756279,0.0
2019-01-14,0.009596943069064778,0.023787827433374265,-0.00616710875331572,-0.1878862292803476,0.0,0.0,0.0,0.0,0.0,0.0,0.005422286579428448,0.0
2019-01-15,0.0029803803740739987,0.007461613260667965,-0.001968372589577605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017463933774513052,0.0
2019-01-16,0.0028821367915754514,0.0072680813163172875,-0.0019388266755807626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017176195959889284,0.0
2019-01-17,0.0027823145966727747,0.007077475177583281,-0.001842114077100887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016893785141876005,0.0
2019-01-18,0.0026857116775609313,0.006894085637483727,-0.001845513723911174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001661664578416211,0.0
2019-01-21,0.007515662621737196,0.019740716843735573,-0.005176992637913047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004828558817346229,0.0
2019-01-22,0.002318491815129553,0.006195395907952594,-0.0016557969790151894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015532775352604666,0.0
2019-01-23,0.0022324658902461714,0.006030454695770127,-0.001590847549417851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015269735130605255,0.0
2019-01-24,0.0021470098094915624,0.0058691233188647995,-0.001559480625148324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001500401941479268,0.0
2019-01-25,0.0020620991838999903,0.005711271761206893,-0.0014940069946690615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014750996720120924,0.0
2019-01-28,0.005711551335602527,0.01630919279849885,-0.004216683102662655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004278355954150825,0.0
2019-01-29,0.0017438140306713645,0.005113091850942553,-0.001297681248505933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001374198384275882,0.0
2019-01-30,0.001668246001941931,0.004970885051579499,-0.0012651735339375136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013498031187395565,0.0
2019-01-31,0.001595391817018177,0.004831496238616229,-0.0012325390304026573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013258855143578607,0.0
2019-02-01,0.0015205543026788337,0.004694831849451964,-0.0011655011655010705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013016805414931554,0.0
2019-02-04,0.004149561175755601,0.013350195712439561,-0.0032260278673897913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003768484269038641,0.0
2019-02-05,0.0012476085570176654,0.00417448514282448,-0.0009984850571546078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012084139226546942,0.0
2019-02-06,0.0011788874915175107,0.004049371521256173,-0.0009305531621575103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011857807644126694,0.0
2019-02-07,0.0011150386793499223,0.003928100106530108,-0.0008969228646337202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011632267759695836,0.0
2019-02-08,0.0010537164301196444,0.0038074090850419573,-0.0008286720530349401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001141127479217463,0.0
2019-02-11,0.0028000277001916096,0.010763571416738227,-0.0022807381297947904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003295889238226213,0.0
2019-02-12,0.0008148739822706474,0.0033490653290175754,-0.000658077029648152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010545849092955528,0.0
2019-02-13,0.0007590097912262284,0.003239095666892844,-0.000623851939139719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010332148175160594,0.0
2019-02-14,0.0007032752863089797,0.0031301658980174007,-0.0005548812207387677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010130345274999009,0.0
2019-02-15,0.0006499576264373808,0.003024552751894616,-0.0005204899545439012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000991791604703085,0.0
2019-02-18,0.0016410524769563395,0.008474497903145473,-0.0013192612137202797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028579732066413843,0.0
2019-02-19,0.00044911791865920314,0.002615662645998995,-0.0003476326218452286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009119003555853045,0.0
2019-02-20,0.00039852773775961303,0.002516618676633664,-0.0002782028098483602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008924382717772072,0.0
2019-02-21,0.00035486891600156056,0.002419833052045739,-0.00024349519966615496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008734001624688403,0.0
2019-02-22,0.00030668106999653943,0.002324500232450122,-0.0002087610034445797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008540395774438991,0.0
2019-02-25,0.0006635092776900997,0.006429191875474638,-0.0003828084217852856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024517819924660955,0.0
2019-02-26,0.00013947320285345732,0.0019569589324310854,-3.4814092744639424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007800413229115399,0.0
2019-02-27,9.830346508277188e-05,0.0018675978894420187,3.481530480797801e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007620220367732244,0.0
2019-02-28,5.94334619534731e-05,0.0017809839149740547,3.481409274486147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007440437630994445,0.0
2019-03-01,2.2857665318065656e-05,0.0016940852799238737,0.00010443864229747746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007261054706111381,0.0
2019-03-04,-0.000144000000000033,0.004584057600004909,0.000556947925369089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020769364688086878,0.0
2019-03-05,-0.0001143021737985972,0.0013603238625767844,0.00024352908433078468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006576797295212433,0.0
2019-03-06,-0.00014860981236297643,0.0012805731269576182,0.00031303259017056995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006410282402613543,0.0
2019-03-07,-0.00017607163600275033,0.0012003912386260307,0.0003824756606398694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000624777128441778,0.0
2019-03-08,-0.0002081213049891506,0.0011219822673516067,0.000382329428938899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000608556458429721,0.0
2019-03-11,-0.0007869080461349043,0.0029067876300366002,0.0014245014245013454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001730369249686392,0.0
2019-03-12,-0.0003136375082988252,0.0008174680162873482,0.0005551122367555283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000545063211171426,0.0
2019-03-13,-0.0003366363388621618,0.0007438848613539051,0.0005894795242553652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000529715458734481,0.0
2019-03-14,-0.0003619486582699949,0.0006704706615727751,0.0006584419184918477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000514759055705083,0.0
2019-03-15,-0.00038270450628830055,0.0005986799621668926,0.0006580086580085798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004994591026605821,0.0
