date,ticker,Open,High,Low,Close,Adj Close,Volume
2019-01-02,AAPL,39.5606,39.5606,39.4429,39.48,39.48,9762645.0
2019-01-03,AAPL,39.5383,39.8561,39.2896,39.6524,39.6524,49172826.0
2019-01-04,AAPL,39.9106,40.4922,39.7598,39.8203,39.8203,11988797.0
2019-01-07,AAPL,40.2414,40.3771,39.8482,40.2984,40.2984,51868145.0
2019-01-08,AAPL,40.5794,41.1778,39.5306,40.4494,40.4494,75482645.0
2019-01-09,AAPL,40.5889,40.5985,40.4373,40.5962,40.5962,74164107.0
2019-01-10,AAPL,40.642,40.7443,40.4995,40.7389,40.7389,72214555.0
2019-01-11,AAPL,40.8365,41.296,40.6684,40.8776,40.8776,23391596.0
2019-01-14,AAPL,41.2132,41.3576,40.9949,41.2699,41.2699,74797102.0
2019-01-15,AAPL,41.4989,41.5185,41.3055,41.3929,41.3929,33503281.0
2019-01-16,AAPL,41.5214,41.5904,41.0665,41.5122,41.5122,8373644.0
2019-01-17,AAPL,41.7707,41.7707,41.6259,41.6277,41.6277,22756642.0
2019-01-18,AAPL,41.6783,41.8495,41.3516,41.7395,41.7395,46507989.0
2019-01-21,AAPL,42.103,42.2155,41.5814,42.0532,42.0532,27207538.0
2019-01-22,AAPL,41.6573,42.6611,41.5272,42.1507,42.1507,17383345.0
2019-01-23,AAPL,42.3178,42.3755,41.9348,42.2448,42.2448,17440658.0
2019-01-24,AAPL,42.498,42.498,42.1805,42.3355,42.3355,56661433.0
2019-01-25,AAPL,42.3949,42.6676,42.2355,42.4228,42.4228,51738587.0
2019-01-28,AAPL,42.7415,42.8421,42.502,42.6651,42.6651,77457372.0
2019-01-29,AAPL,42.7237,43.2273,42.7237,42.7395,42.7395,76622684.0
2019-01-30,AAPL,42.7323,43.4624,41.8747,42.8108,42.8108,8208960.0
2019-01-31,AAPL,42.4893,43.2078,42.1836,42.8791,42.8791,56325935.0
2019-02-01,AAPL,42.9417,43.0517,42.6729,42.9443,42.9443,20722128.0
2019-02-04,AAPL,43.1765,43.2678,42.6485,43.1225,43.1225,11546477.0
2019-02-05,AAPL,42.5533,43.6173,42.5533,43.1763,43.1763,63524146.0
2019-02-06,AAPL,43.3738,43.7799,42.7129,43.2272,43.2272,13074424.0
2019-02-07,AAPL,43.4036,43.4888,43.2259,43.2754,43.2754,44646211.0
2019-02-08,AAPL,42.3854,44.3546,42.3813,43.321,43.321,50910384.0
2019-02-11,AAPL,43.0467,43.891,43.0467,43.4423,43.4423,64860034.0
2019-02-12,AAPL,43.4127,44.0998,43.0478,43.4777,43.4777,43714271.0
2019-02-13,AAPL,43.0466,43.8623,43.0466,43.5107,43.5107,43144193.0
2019-02-14,AAPL,43.639,44.1743,43.503,43.5413,43.5413,78175569.0
2019-02-15,AAPL,43.6121,43.6491,43.5295,43.5696,43.5696,70294995.0
2019-02-18,AAPL,43.4061,44.3788,43.4061,43.6411,43.6411,47332058.0
2019-02-19,AAPL,43.8206,43.8206,43.4102,43.6607,43.6607,53907115.0
2019-02-20,AAPL,43.5035,43.6869,43.1579,43.6781,43.6781,49643659.0
2019-02-21,AAPL,43.3707,43.9993,43.3707,43.6936,43.6936,61102683.0
2019-02-22,AAPL,43.2263,43.9669,43.2263,43.707,43.707,5048727.0
2019-02-25,AAPL,43.8297,44.2012,43.3416,43.736,43.736,24335252.0
2019-02-26,AAPL,43.7421,43.8156,43.7318,43.7421,43.7421,58105375.0
2019-02-27,AAPL,43.833,44.0196,43.6212,43.7464,43.7464,36130267.0
2019-02-28,AAPL,44.0961,44.0961,43.3186,43.749,43.749,45855001.0
2019-03-01,AAPL,43.5759,43.7894,43.5616,43.75,43.75,14383611.0
2019-03-04,AAPL,43.6335,43.8319,43.0658,43.7437,43.7437,18423910.0
2019-03-05,AAPL,43.8968,43.9546,43.644,43.7387,43.7387,26459257.0
2019-03-06,AAPL,43.1405,44.2096,43.1405,43.7322,43.7322,29538122.0
2019-03-07,AAPL,43.7074,43.726,43.23,43.7245,43.7245,10244393.0
2019-03-08,AAPL,43.5833,43.7324,43.1483,43.7154,43.7154,69617223.0
2019-03-11,AAPL,43.8627,43.9925,43.0277,43.681,43.681,70747366.0
2019-03-12,AAPL,44.1819,44.3255,42.8861,43.6673,43.6673,42100229.0
2019-03-13,AAPL,43.3491,43.7575,43.3491,43.6526,43.6526,44788642.0
2019-03-14,AAPL,43.6795,44.4835,43.1339,43.6368,43.6368,76696959.0
2019-03-15,AAPL,43.7231,43.7231,43.1378,43.6201,43.6201,71141909.0
2019-03-18,AAPL,44.0999,44.1895,43.5232,43.5649,43.5649,56707868.0
2019-03-19,AAPL,43.4696,43.6691,43.3414,43.5449,43.5449,42443433.0
2019-03-20,AAPL,43.594,43.6486,43.4477,43.5242,43.5242,38923066.0
2019-03-21,AAPL,43.4764,43.6686,43.4764,43.5029,43.5029,34553138.0
2019-03-22,AAPL,43.5501,43.5501,43.1406,43.4809,43.4809,48782760.0
2019-03-25,AAPL,43.2969,44.4727,42.9179,43.412,43.412,46104661.0
2019-03-26,AAPL,43.3043,43.644,43.3043,43.3882,43.3882,28889246.0
2019-03-27,AAPL,43.1102,43.4088,43.1102,43.364,43.364,39701871.0
2019-03-28,AAPL,43.11,43.649,42.8502,43.3395,43.3395,19520293.0
2019-03-29,AAPL,43.5994,43.5994,43.0272,43.3147,43.3147,41064972.0
2019-04-01,AAPL,43.2914,43.9682,43.1233,43.2393,43.2393,71083910.0
2019-04-02,AAPL,43.1573,43.7706,42.2631,43.214,43.214,62617423.0
2019-04-03,AAPL,43.2622,43.7772,42.574,43.1887,43.1887,6404579.0
2019-04-04,AAPL,42.3853,43.6175,42.3853,43.1634,43.1634,61761587.0
2019-04-05,AAPL,43.0136,43.1505,42.8874,43.1382,43.1382,69117183.0
2019-04-08,AAPL,43.2691,43.2691,42.4221,43.0636,43.0636,59666861.0
2019-04-09,AAPL,42.9499,43.1283,42.9499,43.0393,43.0393,33332008.0
2019-04-10,AAPL,42.734,43.9024,42.7183,43.0152,43.0152,12798224.0
2019-04-11,AAPL,42.8492,43.3649,42.6354,42.9916,42.9916,23698328.0
2019-04-12,AAPL,42.9567,43.0646,42.7916,42.9684,42.9684,65861969.0
2019-04-15,AAPL,42.9183,43.2011,42.7116,42.9018,42.9018,32770079.0
2019-04-16,AAPL,43.0451,43.1472,42.8342,42.8808,42.8808,51480614.0
2019-04-17,AAPL,42.7726,43.0294,42.2682,42.8604,42.8604,48474232.0
